word;averageAoA;SD;Min;Max;ItemZScore;OralFreq_Log; WrittenFreq_Subtlex-ESP_Log; WrittenFreq_LEXESP_Log;WrittenFreq_espal_Log;espal_max_lem_cat;max_lem_code;espal_es_num_syll
tabique;8.88;1.965;4;11;0.499;1.000;1.415;1.279;0.417;NOUN;NCMS000;3
tabla;4.92;2.029;2;9;-0.962;1.491;2.741;1.929;1.545;NOUN;NCFS000;2
tablero;5.96;2.070;2;11;-0.301;1.322;2.511;1.833;0.939;NOUN;NCMS000;3
taburete;5.14;2.277;1;11;-0.871;0.602;1.672;1.415;0.349;NOUN;NCMS000;4
taco;7.24;2.395;2;11;-0.115;1.204;2.332;1.462;0.442;NOUN;NCMS000;2
tacón;5.56;2.305;1;11;-0.568;0.903;1.845;1.431;0.386;NOUN;NCMS000;2
tacto;6.92;1.639;4;11;0.156;1.279;2.236;2.017;0.815;NOUN;NCMS000;2
tal;6.88;2.115;3;11;0.353;3.403;4.540;3.186;2.639;DETERMINER;DD0CS0;1
taladro;7.14;2.416;1;11;0.021;0.778;2.104;0.954;0.262;NOUN;NCMS000;3
talento;8.24;2.282;4;11;0.392;1.447;3.208;2.210;1.456;NOUN;NCMS000;3
talle;9.98;1.392;6;11;0.955;0.477;2.215;1.431;0.570;NOUN;NCMS000;2
taller;6.00;2.185;2;11;-0.190;1.568;2.833;1.991;1.241;NOUN;NCMS000;2
tallo;6.38;2.184;2;11;-0.366;;1.602;1.322;0.796;NOUN;NCMS000;2
talón;6.10;2.140;3;11;-0.617;0.954;2.233;1.342;0.535;NOUN;NCMS000;2
tamaño;5.36;1.699;2;10;-0.489;1.964;3.215;2.516;1.880;NOUN;NCMS000;3
también;5.38;2.303;2;11;-0.487;3.926;4.658;3.850;3.311;ADVERB;RG;2
tambor;3.92;2.049;1;9;-0.860;0.778;2.290;1.591;0.947;NOUN;NCMS000;2
tampoco;5.06;1.845;2;10;-0.400;3.140;3.930;3.137;2.148;ADVERB;RG;3
tan;4.88;2.488;1;11;-0.471;3.398;4.738;3.783;2.852;ADVERB;RG;1
tanatorio;9.80;1.641;5;11;1.092;1.000;0.477;0.602;0.349;NOUN;NCMS000;4
tanga;9.80;1.156;4;11;1.274;;;0.845;0.171;NOUN;NCFS000;2
tango;8.02;2.045;4;11;0.158;1.114;2.452;1.342;1.009;NOUN;NCMS000;2
tanque;6.46;2.092;3;11;-0.498;1.176;2.951;1.362;0.958;NOUN;NCMS000;2
tanta;5.56;1.704;2;9;-0.194;2.373;3.309;2.660;1.763;DETERMINER;DI0FS0;2
tantas;5.50;2.023;2;11;-0.175;2.418;3.232;2.767;1.672;DETERMINER;DI0FP0;2
tanto;6.02;1.953;3;11;0.016;3.391;4.301;3.395;2.884;ADVERB;RG;2
tantos;5.58;1.991;2;11;-0.164;2.507;3.235;2.713;1.790;DETERMINER;DI0MP0;2
tapa;4.48;1.607;1;9;-0.836;1.380;2.747;1.740;0.979;NOUN;NCFS000;2
tapadera;9.64;2.048;2;11;0.799;1.041;1.954;1.176;0.357;NOUN;NCFS000;4
tapado;4.30;1.951;1;10;-0.754;1.398;1.991;1.279;0.596;ADJECTIVE;AQ0MSP;3
tapar;5.00;2.100;2;10;-0.627;1.279;1.996;1.505;0.625;VERB;VMN0000;2
tapia;9.74;1.747;4;11;0.778;1.279;1.690;1.623;0.783;NOUN;NP00000;2
tapiz;9.04;2.166;3;11;0.637;0.778;1.663;1.230;0.539;NOUN;NCMS000;2
tapón;5.22;1.788;2;10;-0.728;1.114;1.785;1.230;0.391;NOUN;NCMS000;2
tara;10.24;1.519;5;11;1.127;0.301;2.663;0.699;0.502;NOUN;NP00000;2
tardanza;8.34;2.172;3;11;0.523;0.301;2.045;1.322;0.601;NOUN;NCFS000;3
tardar;5.28;1.512;3;9;-0.708;1.415;2.567;1.322;0.915;VERB;VMN0000;2
tarde;3.64;1.588;1;9;-0.978;2.996;4.266;3.153;2.441;ADVERB;RG;2
tardes;4.42;1.162;2;7;-0.741;2.728;3.128;2.260;0.948;NOUN;NCFP000;2
tarea;5.00;1.678;2;11;-0.944;1.886;3.236;2.576;1.845;NOUN;NCFS000;3
tarifa;9.60;1.852;5;11;1.160;0.903;2.238;1.531;0.938;NOUN;NCFS000;3
tarjeta;6.62;2.320;2;11;-0.346;2.009;3.498;1.908;1.312;NOUN;NCFS000;3
tarta;3.46;1.809;1;8;-1.383;1.556;2.690;1.431;0.459;NOUN;NCFS000;2
tarzán;4.42;1.797;1;8;-1.293;0.954;1.681;0.845;0.350;NOUN;NP00000;2
tatarabuelo;6.48;2.367;1;11;-0.354;;1.778;0.699;0.123;NOUN;NCMS000;5
taxi;4.84;1.730;1;9;-0.847;1.792;3.296;2.104;0.909;NOUN;NCMS000;2
taza;3.74;1.794;1;8;-0.920;1.146;3.059;1.978;0.856;NOUN;NCFS000;2
te;4.12;2.125;1;9;-0.766;4.076;5.535;3.701;2.604;PRONOUN;PP2CS000;1
té;6.56;2.500;2;11;0.031;1.462;3.398;1.987;1.057;NOUN;NCMS000;1
teatral;7.60;1.852;3;11;0.518;1.322;2.029;1.881;1.235;ADJECTIVE;AQ0CS0;3
teatro;6.44;2.140;3;11;-0.276;2.593;3.201;2.582;2.070;NOUN;NCMS000;3
techo;4.06;1.789;1;9;-1.174;1.462;3.237;2.354;1.447;NOUN;NCMS000;2
techumbre;10.06;1.634;4;11;1.069;;;0.903;0.380;NOUN;NCFS000;3
teclado;7.12;1.848;4;11;-0.177;0.903;2.104;1.462;0.992;NOUN;NCMS000;3
teclas;5.98;2.065;3;11;-0.195;0.477;1.690;1.301;0.648;NOUN;NCFP000;2
técnica;9.32;1.720;4;11;0.886;2.258;2.803;2.641;1.915;NOUN;NCFS000;3
técnicas;8.72;1.762;5;11;1.216;2.111;2.367;2.462;1.801;NOUN;NCFP000;3
técnico;8.80;1.604;4;11;0.857;2.167;2.652;2.283;1.852;ADJECTIVE;AQ0MS0;3
tecno;9.94;1.766;1;11;0.966;;1.342;0.301;0.241;ADJECTIVE;AQ0MS0;2
tecnología;9.58;1.486;6;11;0.967;1.919;3.251;2.260;1.878;NOUN;NCFS000;5
teide;5.44;2.242;1;11;-0.487;0.699;;;0.287;NOUN;NP00000;2
teja;6.38;2.390;1;11;-0.309;0.699;0.954;0.778;0.500;NOUN;NCFS000;2
tejado;5.50;2.013;2;11;-0.845;1.279;2.423;1.799;0.860;NOUN;NCMS000;3
tejano;9.46;1.961;4;11;0.739;0.602;1.398;0.602;0.241;ADJECTIVE;AQ0MS0;3
tejido;7.88;2.154;2;11;0.285;1.000;2.694;2.037;1.263;ADJECTIVE;AQ0MSP;3
tela;5.34;1.891;1;11;-0.723;1.813;2.568;2.127;1.308;NOUN;NCFS000;2
telaraña;4.78;1.569;2;11;-0.878;;1.756;1.204;0.323;NOUN;NCFS000;4
tele;2.92;1.602;1;7;-1.232;2.322;3.013;2.127;0.988;NOUN;NP00000;2
telediario;5.90;2.121;1;11;-0.230;1.556;0.845;1.398;0.607;NOUN;NP00000;4
telefónica;8.40;1.938;3;11;0.735;1.886;2.725;2.033;1.531;NOUN;NP00000;5
teléfono;3.16;1.595;1;6;-1.139;2.676;3.997;2.653;1.540;NOUN;NCMS000;4
telegrama;8.50;1.787;5;11;0.403;1.176;2.196;1.519;0.678;NOUN;NCMS000;4
televisión;3.10;1.619;1;8;-1.533;3.087;3.384;2.915;2.159;NOUN;NCFS000;4
televisivo;7.78;2.332;3;11;0.453;1.114;1.716;1.591;0.858;ADJECTIVE;AQ0MS0;5
televisor;3.06;1.331;1;6;-1.215;1.568;2.736;2.064;0.680;NOUN;NCMS000;4
tema;5.80;1.457;3;11;-0.249;3.162;3.567;2.873;2.276;NOUN;NCMS000;2
temas;6.62;1.794;3;11;0.310;2.612;2.929;2.490;2.083;NOUN;NCFP000;2
temblor;6.60;2.204;1;11;-0.352;;1.982;1.857;0.764;NOUN;NCMS000;2
temer;6.70;2.393;2;11;-0.300;0.954;2.628;1.756;1.066;VERB;VMN0000;2
temeroso;8.08;2.329;4;11;0.195;1.000;1.785;1.556;0.701;ADJECTIVE;AQ0MS0;4
temor;7.20;2.507;3;11;0.027;1.839;2.773;2.408;1.645;NOUN;NCMS000;2
temperamental;9.72;1.819;5;11;0.845;0.778;1.699;0.845;0.214;ADJECTIVE;AQ0CS0;5
temperamento;9.26;2.319;2;11;0.790;1.146;2.093;1.681;0.917;NOUN;NCMS000;5
temperatura;7.06;1.570;2;11;0.202;1.987;2.940;2.442;1.676;NOUN;NCFS000;5
temperaturas;7.40;1.784;3;11;0.681;2.170;2.104;1.914;1.455;NOUN;NCFP000;5
tempestad;7.82;2.145;3;11;0.120;0.778;1.886;1.415;0.957;NOUN;NCFS000;3
templo;7.90;2.033;4;11;0.316;1.653;2.913;1.924;1.745;NOUN;NCMS000;2
temporada;8.32;1.911;5;11;0.942;2.423;3.313;2.531;2.139;NOUN;NCFS000;4
temporal;8.08;2.355;2;11;0.287;1.556;2.869;2.057;1.562;ADJECTIVE;AQ0CS0;3
temprano;5.10;1.961;1;10;-0.559;1.748;3.586;2.114;1.324;ADVERB;RG;3
ten;5.78;2.652;2;11;-0.082;2.045;3.571;1.602;2.047;NOUN;NCMS000;1
tenacidad;9.30;2.550;2;11;0.662;1.000;1.176;1.447;0.666;NOUN;NCFS000;4
tenaz;10.00;1.355;6;11;1.035;0.602;1.756;1.623;0.708;ADJECTIVE;AQ0CS0;2
tenazas;6.94;2.559;1;11;0.193;0.301;1.724;0.845;0.307;NOUN;NCFP000;3
tendencia;9.92;1.426;5;11;0.879;1.949;2.316;2.418;1.700;NOUN;NCFS000;3
tender;5.64;2.192;2;11;-0.244;1.255;1.663;1.230;0.795;VERB;VMN0000;2
tendón;9.18;1.494;4;11;0.781;0.602;1.716;0.778;0.364;NOUN;NCMS000;2
tendrá;5.73;1.966;2;10;-0.107;2.471;3.605;2.530;1.976;VERB;VMIF3S0;2
tendrán;6.52;1.619;3;10;0.218;2.143;3.269;2.228;1.567;VERB;VMIF3P0;2
tendremos;5.82;1.535;3;10;-0.045;2.152;3.593;1.973;1.395;VERB;VMIF1P0;3
tendría;6.38;1.760;3;10;0.152;2.425;3.506;2.522;1.697;VERB;VMIC3S0;3
tenedor;3.28;1.642;1;8;-1.129;0.778;2.398;1.342;0.463;NOUN;NCMS000;3
tenéis;6.32;2.684;1;11;0.204;2.386;2.501;1.756;0.928;VERB;VMIP2P0;2
tenemos;4.38;1.772;2;8;-0.632;3.461;4.664;2.852;2.340;VERB;VMIP1P0;3
tener;3.52;1.972;1;9;-1.198;3.377;4.435;3.269;2.567;VERB;VMN0000;2
tenerife;4.74;2.423;1;11;-0.695;1.898;0.903;1.477;1.351;NOUN;NP00000;4
tenga;6.12;2.125;2;10;0.080;2.803;3.848;2.618;1.894;VERB;VMSP3S0;2
tengamos;6.32;2.065;2;11;0.213;2.037;3.216;1.519;1.198;VERB;VMSP1P0;3
tengan;5.96;1.927;2;10;-0.001;2.380;3.377;2.283;1.680;VERB;VMSP3P0;2
tengas;5.32;1.953;1;9;-0.240;2.057;3.665;1.556;0.738;VERB;VMSP2S0;2
