Appendix F. Spanish base and complex words semantically transparent;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Complex word;;;;;;;;Semantic;Complex word;;;;;;;;Semantic
Base word;AoA;Imag;Fr;L;P;S;N;MFS;MFS;Semantically;AoA;Imag;Fr;L;P;S;N;distance;Semantically;AoA;Imag;Fr;L;P;S;N;distance
;;;;;;;;Inf.;Sem.R;Transparent;;;;;;;;;Opaque;;;;;;;;
labor (work);5;5;2.3;5;5;2;3;11;11;laboral (working);5.4;4.9;2.5;7;7;3;2;6.5;laboratorio (lab);4.5;6.6;3.4;11;11;5;0;3.6
lago (lake);3.2;7.7;3.2;4;4;2;14;7;6;laguna (lagoon);4.4;6.4;2.2;6;6;3;0;6.8;lagar (winery);5.9;2.1;0;5;5;2;15;3.2
largo (long);2.3;7.3;3.7;5;5;2;5;43;20;largura (length);5.4;4.3;0;7;7;3;0;6.1;larguero (crossbar);5.6;5.9;0.6;8;7;3;4;3.9
leer (to read);2.3;7.2;3.5;4;4;2;3;15;15;lectura (reading);3.2;6.1;2.8;7;7;3;2;7.5;lectivo (school);5.5;3.2;0.9;7;7;3;1;4.7
letra (letter);2.1;7.7;3;5;5;2;7;17;17;letrero (sign);3.7;6.7;2.5;7;7;3;3;6.2;letrado (learned);6.1;5.4;1.3;7;7;3;3;3.9
levantar (to lift up);2.1;6.6;2.9;8;8;3;0;28;8;levadizo (that can be lifted);5.9;4.4;1.1;8;8;4;1;5;levadura (yeast);4.6;6;1.3;8;8;4;3;4.6
llamar (to call0;2.3;6.4;3.8;6;5;2;4;9;9;llamada (call);2.7;5.8;3.8;7;6;3;2;7.5;llamativo (striking);4.7;4.5;1.9;9;8;4;1;5.9
lujo (luxury);4.6;6.5;2.9;4;4;2;7;9;8;lujoso (luxurious);4.4;5.9;2.1;6;6;3;3;7.8;lujuría (lust);6.3;4.1;0;7;6;4;0;4
lumbre (fire);6.5;3.5;1.3;6;6;2;1;11;11;alumbra (to light up);4.9;4.6;1.1;7;7;3;0;4.9;alumbramiento (lighting);5.5;5.6;1.3;13;13;5;0;4.6
maduro (mature);4.9;5.7;2.4;6;6;3;3;22;13;madurez (maturity);4.9;4.2;2.2;7;7;3;0;7.3;madrugar (to get up early);3.3;5.8;1.7;8;8;3;0;3.2
maestro (teacher);2.3;7.3;3.4;7;7;3;2;21;20;maestría (expertise);5.7;3.9;2;8;8;4;0;6.5;maestre (grand master);6;4.2;0.7;7;7;3;2;4.4
magnitud (magnitude);5.7;4.4;2.1;8;8;3;0;5;5;magnífico (magnificient0;4.5;4.2;2.9;9;9;4;1;4.5;magnate (magnate);6.2;4.1;2;7;7;3;0;3.4
malo (bad);1.4;5.9;4;4;4;2;21;16;16;maligno (malignant);4.5;4.5;2.3;7;7;3;1;7.3;maleza (weeds);5.4;5.1;1.8;6;6;3;6;4.7
mano (hand);1.4;7.9;4;4;4;2;22;34;34;manopla (mitten);4.6;6.3;0.9;7;7;3;0;6.9;manojo (bunch);4.1;5.9;1.8;6;6;3;5;4.8
máquina (machine);2.8;7.6;3.4;7;6;3;0;11;11;maquinilla (small machine);4.4;6.4;0.8;10;8;4;0;6.6;maquinar (to plot);4.8;4;0;8;7;3;2;5.7
masa (mass);3.5;6.1;2.8;4;4;2;24;17;17;masilla (putty);5.5;5.3;1.4;7;6;3;8;5.8;masaje (massage);3.4;6.5;2.7;6;6;3;2;3.4
medio (medium);3.3;5.3;3.9;5;5;2;6;34;34;mediador (mediator);5.9;4.7;1.5;8;8;3;1;5.3;medieval (medieval);4.7;6;2.1;8;8;3;0;4.3
mercado (market);2.8;7.5;3.2;7;7;3;2;24;16;mercancía (goods);4.7;6;2.6;9;9;4;0;6;mercante (merchant);5.5;5;1.5;8;8;3;0;5.9
mes (month);2.9;6.2;3.6;3;3;1;9;8;8;mensual (monthly0;4.6;4.8;1.9;7;7;2;2;7.5;menstrual (monthly);5.8;4.6;1.5;9;9;2;1;6.1
misión (mission);4.4;5.5;3.6;6;6;2;5;5;4;misionero (missionary);5.1;5.9;1.8;9;9;4;1;6.8;misiva (misive);6.8;1.6;0;6;6;3;3;2.9
mortal (mortal);4.8;5.6;2.9;6;6;2;6;12;6;mortalidad mortality);5;4.4;2;10;10;4;0;7.4;mortificar (mortify);5.4;3.3;0;10;10;4;1;4.6
mosca (fly);2.4;7.9;2.5;5;5;2;8;34;19;mosquito (mosquito);2.7;6.9;1.9;8;7;3;3;5.5;mosquear (to annoy);4.2;4.4;0;8;7;3;1;3.9
motivo (motive);4.8;4.5;3.4;6;6;3;2;8;6;motivación (motivation);5.1;4;2.3;10;10;4;0;6.5;motín (riot);5.6;5.1;2.3;5;5;2;5;3.2
nombre (name);1.6;6;4.3;6;6;2;1;28;18;nombramiento (nomination);5.2;3.7;1.7;12;12;4;0;6.6;nómina (payroll);6.3;5.6;2;6;6;3;2;3.7
nota (note);3.2;6.8;3.5;4;4;2;19;35;19;notable (significant);4.4;4.3;2.3;7;7;3;1;5.1;notario (notary);6;6;1.6;7;7;3;3;4.9
ojo (eye);1.4;8;3.4;3;3;2;5;21;21;ojera (bag under the eyes);4.8;6.5;0;5;5;3;3;6.6;ojal (buttonhole);5.6;4.6;1.2;4;4;2;4;4.8
orden (order);3.6;5.3;3.7;5;5;2;0;8;8;ordenar (to arrange);2.8;5.4;2.7;7;7;3;2;7.3;ordeñar (to milk);3.4;6.4;1.5;7;7;3;1;2.8
origen (origin);4.5;4.5;2.8;6;6;3;0;5;5;originario (original);5.5;3;1.3;10;10;5;1;6.7;original (original);3.7;4.1;3.1;8;8;4;1;5.9
palma (palm);3.3;6.7;2.3;5;5;2;10;22;22;palmera (palm tree);2.8;6.6;1.7;7;7;3;3;4.9;palmoteo (clapping);5.3;3.9;0;8;8;4;0;5.1
palo (stick);2.1;7.9;2.9;4;4;2;25;37;17;paleta (small shovel);3.4;6.1;2;6;6;3;9;4.5;paleto (boorish);4.5;4.9;1;6;6;3;3;3
parar (to stop);2.3;5.8;3.4;5;5;2;11;27;17;paradero (whereabouts);5.5;4;2.5;8;8;4;5;5.2;paraje (place);5.9;5;1;6;6;3;5;4.3
parir (to give birth);4.7;6.4;1.8;5;5;2;3;8;8;paritorio (delivery room );5.7;5.3;0;9;9;4;1;7.3;pariente (relative);4.2;5.1;2.6;8;8;3;2;4.2
pasar (to pass);2.7;5.8;4.1;5;5;2;15;27;27;paseo (walk);2.6;5.8;3.2;5;5;3;5;5;pasaje (passage);4.5;5.8;2.7;6;6;3;4;4.6
 patria (fatherland);5.6;5.3;2.5;6;6;2;1;13;12;patriota (patriot);5.4;5.1;2.2;8;8;3;0;7.3;patriarca (patriarch);5.6;5.3;1.5;9;9;3;1;5.6
patrón (patron);5.5;5.8;2.9;6;6;2;3;15;15;patronal (employes');6.1;3.9;0.5;8;8;3;2;6.7;patronato (patronage);6.3;3.4;0.8;9;9;4;1;4.7
peatón (pedestrian);4.3;7.3;1.4;6;6;3;1;2;2;peatónal (pedestrian);4.4;6;1.2;8;8;4;0;7.5;peaje (toll);5.9;6;2;5;5;3;0;3.8
pecho (chest);3.2;7.8;3.2;5;4;2;10;32;32;pechera (shirt front);6.1;4;0.8;7;6;3;4;5.2;pechuga (breast);3.4;6.5;1.8;7;6;3;1;5.2
pena (sorrow);3.3;5.2;3.7;4;4;2;19;131;13;penuria (poverty);6;4;1;7;7;3;0;6.4;penal (penal);5.7;3.2;2.4;5;5;2;10;4.9
piedra (stone);2;7.8;3.2;6;6;2;1;33;33;pedrusco (rough stone);4.3;6.4;0;8;8;3;1;7;pedrea (hailstorm);6.2;3.3;0;6;6;3;1;4.7
